n-gram,size
non-maori,1
maori,1
kiwi,1
rotorua,1
matariki,1
te reo,2
waikato,1
wanaka,1
tauranga,1
porirua,1
te reo maori,3
waitangi,1
taranaki,1
timaru,1
kapiti,1
te anau,2
iwi,1
wanganui,1
wairarapa,1
mataura,1
taupo,1
paraparaumu,1
manawatu,1
marae,1
whangarei,1
te,1
wakatipu,1
ngai tahu,2
manukau,1
pakeha,1
wainuiomata,1
aotearoa,1
waitakere,1
tamihere,1
mana,1
henare,1
petone,1
no-one,1
kaikoura,1
karori,1
rangiora,1
oamaru,1
whanau,1
papanui,1
harawira,1
kaiapoi,1
waikanae,1
tonga,1
haka,1
tuatapere,1
te wiki o te reo maori,6
otaki,1
tawa,1
hokitika,1
hurunui,1
waimakariri,1
otautau,1
waka,1
whanganui,1
akaroa,1
kapa haka,2
hui,1
paua,1
kaitaia,1
maunganui,1
waihopai,1
ewe,1
oreti,1
apu,1
ohariu,1
otatara,1
ruapehu,1
aotea,1
naenae,1
tahiti,1
kumara,1
rakaia,1
manu,1
reo,1
hangi,1
mangere,1
rimutaka,1
paremata,1
waiau,1
papakura,1
tui,1
taieri,1
kaikorai,1
rimu,1
pita,1
makarewa,1
puanga,1
pukekohe,1
tania,1
wairoa,1
aoraki,1
paekakariki,1
kingi,1
ohai,1
kawarau,1
tapanui,1
ute,1
te arawa,2
kohanga reo,2
tainui,1
aratere,1
tua,1
waitaki,1
huata,1
mika,1
te taura whiri i te reo maori,7
moana,1
ieremia,1
manapouri,1
motueka,1
awarua,1
hawea,1
team-mate,1
aranui,1
horowhenua,1
titahi,1
waitemata,1
kahu,1
ngaio,1
tana,1
whakapapa,1
tangata whenua,2
pakuranga,1
tamariki,1
te puni kokiri,3
taonga,1
makara,1
waiheke,1
whakatane,1
mene,1
waikiwi,1
powhiri,1
wai,1
hone harawira,2
hokonui,1
kenepuru,1
moa,1
wipiiti,1
keane,1
rongotai,1
waikaka,1
weka,1
waiariki,1
kahurangi,1
hauraki,1
tariana turia,2
hikoi,1
remuera,1
tekapo,1
merino,1
pukerua,1
raumati,1
waiata,1
kiri,1
onehunga,1
kahui,1
nia,1
te wananga o aotearoa,4
waipukurau,1
maree,1
tongariro,1
kaumatua,1
hone,1
manurewa,1
te tai tonga,3
nupe,1
runga,1
te rangi,2
wairau,1
taro,1
howie,1
takapuna,1
te tai tokerau,3
waimate,1
otahuhu,1
karaka,1
kea,1
kura,1
wananga,1
rarotonga,1
heretaunga,1
tokoroa,1
kaimanawa,1
kiri te kanawa,3
ohoka,1
taine,1
tipene,1
maniototo,1
waipara,1
kerikeri,1
kauri,1
pohutukawa,1
ratana,1
tiki,1
monie,1
rangitata,1
tokanui,1
manaakitanga,1
niwa,1
paea,1
tararua,1
aimee,1
ngauranga,1
tamati,1
orewa,1
otara,1
matamata,1
kaka,1
owhiro,1
taita,1
tataurangi,1
te kahu,2
whakarewarewa,1
kohanga,1
heke,1
riki,1
te kuiti,2
waituna,1
hine,1
rata,1
kereru,1
taihape,1
maka,1
mangakino,1
ohakea,1
