node,logged_freq,size,semantic_domain,borrowing_type,listedness,frequency,"nf*1,000,000"
aotearoa,2.434350491,1,PN,proper noun,YES,25,271.8632419
aroha,1.814561733,1,SC,core,YES,6,65.24717806
haka,2.240530465,1,SC,cultural,YES,16,173.9924748
hangi,2.580478527,1,MC,cultural,YES,35,380.6085387
hapu,1.735380487,1,SC,cultural,YES,5,54.37264838
hikoi,1.881508523,1,SC,cultural,YES,7,76.12170774
hui,2.182538518,1,SC,core,YES,14,152.2434155
iwi,2.416621725,1,SC,cultural,YES,24,260.9887122
kapa haka,2.541560461,2,SC,cultural,YES,32,347.9849497
karakia,2.036410483,1,SC,cultural,YES,10,108.7452968
kaupapa (maori),2.077803168,1,SC,cultural,YES,11,119.6198264
kauri,1.735380487,1,FF,core,YES,5,54.37264838
kawakawa,2.150353835,1,FF,core,YES,13,141.3688858
ki-o-rahi,2.150353835,1,SC,cultural,NO,13,141.3688858
kiwi,2.679863159,1,PN,proper noun,YES,44,478.4793058
kohanga (reo),2.077803168,2,SC,cultural,YES,11,119.6198264
korero,1.93950047,1,SC,core,YES,8,86.99623741
kumara,2.036410483,1,FF,cultural,YES,10,108.7452968
mana,2.036410483,1,SC,cultural,YES,10,108.7452968
maori,3.824578854,1,PN,proper noun,YES,614,6676.961221
marae,2.5678894,1,MC,cultural,YES,34,369.734009
mauri,1.93950047,1,SC,cultural,YES,8,86.99623741
non-maori,1.814561733,1,PN,proper noun,YES,6,65.24717806
pakeha,2.337440478,1,PN,proper noun,YES,20,217.4905935
poi,2.115591729,1,MC,cultural,YES,12,130.4943561
pou,1.990652992,1,MC,cultural,NO,9,97.87076709
powhiri,1.881508523,1,SC,cultural,YES,7,76.12170774
puanga,2.735380487,1,FF,cultural,NO,50,543.7264838
taiaha,1.735380487,1,MC,cultural,YES,5,54.37264838
tamariki,2.291682988,1,SC,core,YES,18,195.7415342
tangata whenua,1.93950047,2,SC,cultural,YES,8,86.99623741
taonga,1.814561733,1,SC,core,YES,6,65.24717806
taonga puoro,2.266859404,2,MC,cultural,NO,17,184.8670045
taro,2.467774247,1,FF,cultural,YES,27,293.6123013
te puni kokiri,2.036410483,3,PN,proper noun,YES,10,108.7452968
te reo,2.5678894,2,SC,core,YES,34,369.734009
te reo maori,2.240530465,3,PN,proper noun,NO,16,173.9924748
teina,2.077803168,1,SC,cultural,NO,11,119.6198264
tikanga,1.881508523,1,SC,cultural,YES,7,76.12170774
tuakana,1.735380487,1,SC,cultural,NO,5,54.37264838
waiata,2.240530465,1,SC,core,YES,16,173.9924748
waka,2.580478527,1,MC,cultural,YES,35,380.6085387
wananga,1.93950047,1,SC,cultural,NO,8,86.99623741
whanau,2.592712984,1,SC,core,YES,36,391.4830684
