rank,word,freq,normalised_per_10000_words
1,te,93895,932
2,e,33197,329
3,i,29483,293
4,ki,29251,290
5,o,24221,240
6,he,19999,198
7,ngā,15294,152
8,ka,15258,151
9,a,14487,144
10,kia,14315,142
11,ko,13207,131
12,mai,10760,107
13,#tereo,10486,104
14,koe,10079,100
15,kei,9536,95
16,hoa,8792,87
17,ana,8536,85
18,reo,8430,84
19,me,7924,79
20,au,7354,73
21,pai,7294,72
22,mihi,6466,64
23,nei,6386,63
24,ora,6162,61
25,hoki,6141,61
26,kua,6056,60
27,māori,5848,58
28,rā,5840,58
29,nga,5822,58
30,tēnei,5576,55
31,atu,5552,55
32,mō,4922,49
33,koutou,4394,44
34,nui,4342,43
35,haere,4185,42
36,mahi,4136,41
37,tino,3597,36
38,mo,3592,36
39,tō,3562,35
40,ahau,3479,35
41,hei,3385,34
42,taku,3267,32
43,kupu,3248,32
44,kaha,3222,32
45,aroha,3192,32
46,kōrero,3162,31
47,ra,3019,30
48,mā,3007,30
49,tau,3003,30
50,tēnā,2775,28
51,ai,2629,26
52,katoa,2628,26
53,tonu,2592,26
54,aha,2530,25
55,whānau,2512,25
56,rawe,2504,25
57,ia,2481,25
58,to,2444,24
59,kai,2367,23
60,ake,2344,23
61,rawa,2342,23
62,wā,2337,23
63,tātou,2289,23
64,ao,2270,23
65,kaupapa,2145,21
66,wiki,2123,21
67,mātou,2101,21
68,tika,2050,20
69,tangata,2030,20
70,mea,2005,20
71,whakaaro,1939,19
72,tenei,1922,19
73,ā,1895,19
74,iwi,1886,19
74,runga,1886,19
76,anō,1878,19
77,nā,1772,18
78,mau,1761,17
79,hou,1757,17
80,ae,1725,17
81,maori,1714,17
82,whanau,1652,16
83,kura,1643,16
83,rangatira,1643,16
85,moe,1624,16
86,kore,1599,16
87,tōku,1559,15
88,ma,1556,15
89,rangi,1550,15
90,whare,1526,15
91,nau,1523,15
92,nō,1510,15
93,korero,1496,15
94,kē,1472,15
95,tautoko,1436,14
96,ata,1433,14
97,āe,1389,14
98,wai,1363,14
99,engari,1330,13
100,pō,1325,13
101,roto,1320,13
102,noa,1295,13
103,kāore,1242,12
103,tērā,1242,12
105,wehi,1238,12
106,toa,1227,12
107,aotearoa,1186,12
108,tā,1180,12
109,#tekupu,1164,12
109,whai,1164,12
111,ō,1159,12
112,hui,1149,11
112,tū,1149,11
114,whenua,1142,11
115,tena,1140,11
116,tētahi,1119,11
117,pea,1108,11
118,rua,1093,11
119,noho,1092,11
120,mana,1080,11
121,waiata,1075,11
121,waka,1075,11
123,#gigatowngis,1027,10
124,tae,1011,10
125,rātou,993,10
126,marae,969,10
127,mauri,967,10
128,ako,947,9
129,ataahua,920,9
130,kite,913,9
131,aue,908,9
132,kare,903,9
133,tatou,887,9
134,ngāti,882,9
135,wahine,878,9
136,kapa,876,9
137,ahakoa,866,9
138,anei,856,8
139,rere,851,8
140,reira,842,8
141,ano,832,8
142,tamariki,814,8
143,ingoa,805,8
143,matua,805,8
145,tuatahi,790,8
146,taonga,789,8
147,mate,781,8
148,rongo,764,8
149,toku,754,7
150,moana,744,7
151,tohu,724,7
152,aku,719,7
153,manu,701,7
154,no,694,7
155,awa,693,7
156,hea,686,7
157,tu,671,7
157,tīhau,671,7
159,x,666,7
160,ufb,662,7
160,whakarongo,662,7
162,na,657,7
163,maunga,650,6
164,tuku,649,6
165,piki,648,6
166,marama,646,6
166,tōna,646,6
168,ātaahua,644,6
169,kaua,643,6
169,matou,643,6
171,#mahurumāori,637,6
172,taua,631,6
173,lol,630,6
174,tahi,627,6
175,ktk,626,6
176,tikanga,623,6
177,mōhio,621,6
178,ētahi,618,6
179,the,613,6
180,tama,612,6
181,puta,609,6
182,taea,607,6
183,iho,604,6
184,rānei,602,6
185,wānanga,598,6
186,pā,596,6
187,ara,595,6
188,tana,589,6
189,iti,586,6
190,kātahi,585,6
191,ēnei,583,6
192,tāku,582,6
193,mua,581,6
194,wairua,577,6
195,ngati,576,6
196,auē,575,6
197,roa,574,6
198,po,570,6
199,haka,565,6
200,tai,558,6
201,tera,552,5
201,wa,552,5
203,pukapuka,547,5
204,hari,544,5
205,take,539,5
206,tāu,534,5
207,ehara,531,5
208,kaore,529,5
209,koia,528,5
209,mutu,528,5
211,tangi,523,5
212,māua,512,5
213,mārie,501,5
214,#nativeaffairs,500,5
215,heoi,497,5
216,whaea,496,5
217,mutunga,495,5
218,ngākau,491,5
219,konei,490,5
220,papa,489,5
221,tauira,488,5
222,hiahia,487,5
223,kotahi,485,5
224,kaiako,470,5
225,pae,466,5
225,tāmaki,466,5
227,morena,465,5
228,hau,464,5
229,tirohia,462,5
230,taha,460,5
231,tōu,455,5
232,āhua,452,4
233,tekau,450,4
234,haha,449,4
235,kāinga,448,4
236,atua,447,4
237,reka,446,4
238,hua,445,4
238,kōrua,445,4
238,āpōpō,445,4
241,hunga,443,4
242,kainga,440,4
242,wāhi,440,4
244,tāngata,438,4
245,uri,436,4
246,#maori,425,4
247,kino,423,4
248,rite,421,4
249,tētehi,419,4
250,via,418,4
251,hika,416,4
252,whanaunga,412,4
253,ināianei,411,4
254,kī,409,4
255,motu,401,4
255,rau,401,4
257,pehea,400,4
258,mōrena,395,4
259,rauemi,391,4
260,tetahi,390,4
261,kitea,389,4
261,rāua,389,4
263,manawa,387,4
264,ōku,383,4
265,tukuna,382,4
265,tāua,382,4
265,xx,382,4
268,karere,381,4
269,karanga,380,4
269,whakataetae,380,4
271,pākehā,378,4
272,pānui,372,4
273,#2hono2,371,4
273,muri,371,4
275,titiro,370,4
276,#tewikiotereomāori,368,4
276,for,368,4
278,hē,367,4
278,nē,367,4
280,matariki,366,4
280,whea,366,4
282,whakanui,363,4
283,tou,362,4
284,tuarua,361,4
285,oranga,359,4
286,pēhea,358,4
287,3,355,4
288,pātai,354,4
289,ua,353,4
290,eke,352,3
291,hai,350,3
291,ratou,350,3
293,whakaahua,349,3
294,and,348,3
295,heke,346,3
296,huri,343,3
297,ta,341,3
298,whiti,339,3
299,huritau,338,3
300,of,336,3
301,matatini,334,3
302,mohio,330,3
302,tata,330,3
304,kiriata,327,3
304,ringa,327,3
306,maha,325,3
307,toi,321,3
308,ke,320,3
309,2,316,3
310,raro,315,3
310,t,315,3
310,tuakana,315,3
313,apopo,314,3
313,arohanui,314,3
313,mokopuna,314,3
316,mamae,310,3
317,marie,309,3
317,ngaa,309,3
319,makaurau,307,3
319,mara,307,3
321,hine,306,3
321,momo,306,3
321,ngaro,306,3
324,tātau,304,3
325,kirihimete,302,3
325,tahu,302,3
327,mātauranga,299,3
328,hōtaka,297,3
328,tauranga,297,3
330,toru,296,3
331,ika,293,3
332,harikoa,292,3
332,tatau,292,3
334,#māori,291,3
334,tapu,291,3
336,#1mirionatweets,289,3
336,katahi,289,3
336,māmā,289,3
336,tīmata,289,3
340,inaianei,288,3
340,whawhai,288,3
342,timata,287,3
343,miharo,285,3
343,wāhine,285,3
343,āna,285,3
346,pono,284,3
347,rōpū,282,3
348,māku,281,3
348,ōu,281,3
350,arawa,280,3
351,ngakau,279,3
351,tinana,279,3
353,mīharo,278,3
353,ngāi,278,3
353,tāne,278,3
356,rangatahi,277,3
357,in,275,3
357,karawhiua,275,3
359,tona,273,3
360,ipurangi,272,3
360,pou,272,3
360,tuhi,272,3
363,whiwhi,271,3
364,haerenga,270,3
364,hanga,270,3
366,1,269,3
366,hinga,269,3
366,oti,269,3
366,pouri,269,3
370,pāpā,268,3
371,#cenz15,266,3
371,waikato,266,3
373,rohe,264,3
374,ahiahi,263,3
374,utu,263,3
376,mehemea,261,3
377,manaaki,260,3
377,tuahine,260,3
379,karakia,257,3
380,huia,255,3
380,koro,255,3
380,roopu,255,3
383,tawhiti,253,3
384,is,251,2
385,at,249,2
385,whakarite,249,2
387,marika,248,2
388,koa,247,2
389,korua,246,2
389,whakaata,246,2
391,huarahi,245,2
391,tere,245,2
391,tua,245,2
391,wareware,245,2
395,ng,240,2
396,kuia,238,2
396,mātakitaki,238,2
398,whānui,237,2
399,#tweetaz,236,2
399,on,236,2
399,rerenga,236,2
402,arā,234,2
402,manawanui,234,2
402,rima,234,2
405,ahua,233,2
405,tiaki,233,2
407,mahia,232,2
407,maumahara,232,2
407,puna,232,2
407,whakamutunga,232,2
411,kanohi,231,2
411,mahana,231,2
411,mātau,231,2
414,hoko,230,2
414,kāea,230,2
416,kahurangi,229,2
417,#tewikiotereomaori,228,2
418,an,227,2
418,inu,227,2
418,tupuna,227,2
418,you,227,2
422,manaakitanga,226,2
423,rangahau,225,2
424,koinei,224,2
425,āwhina,223,2
426,hangarau,222,2
427,wananga,221,2
427,ōna,221,2
429,m,220,2
430,#tematatini,218,2
430,mārama,218,2
430,tē,218,2
433,taumata,217,2
434,wero,216,2
435,haramai,215,2
435,panui,215,2
435,pōuri,215,2
438,pa,214,2
439,anake,212,2
439,hono,212,2
439,kau,212,2
439,kawhe,212,2
439,tihau,212,2
439,turanga,212,2
439,waitangi,212,2
439,āu,212,2
